0,1,2,3,4,5,6,7,8,9,10
3 + 1,130,120,Ara Kat,40,Kombi,4,Eşyalı Değil,Boş,Üsküdar,"11,000"
1 + 1,47,36,10,7,Merkezi (Pay Ölçer),16,Eşyalı Değil,Boş,Küçükçekmece,"6,500"
3 + 1,150,110,5,4,Kombi,10,Eşyalı,Boş,Kadıköy,"28,000"
3 + 1,115,90,2,35,Merkezi,5,Eşyalı Değil,Mülk Sahibi,Bakırköy,"13,500"
3 + 1,130,110,Bahçe Katı,4,Merkezi (Pay Ölçer),11,Uygun değil,Güney,Tuzla,"10,500"
1 + 1,60,50,Zemin,11,Kombi,4,Eşyalı,Boş,Ümraniye,"7,750"
2 + 1,120,100,Ara Kat,4,Kombi,30,Eşyalı,20.000,Esenyurt,"11,200"
3 + 1,115,100,Yüksek Giriş,10,Kombi,5,Uygun,İkinci El,Bahçelievler,"8,500"
3 + 1,140,130,3,31,Kombi,3,Eşyalı Değil,Boş,Bahçelievler,"11,500"
2 + 1,90,80,Ara Kat,Sıfır Bina,Kombi,5,Eşyalı Değil,Boş,Gaziosmanpaşa,"8,500"
2 + 1,160,105,Ara Kat,4,Merkezi (Pay Ölçer),15,Eşyalı Değil,Boş,Üsküdar,"45,000"
2 + 1,85,82,2,22,Kombi,8,Eşyalı Değil,Boş,Şişli,"7,000"
2 + 1,110,100,5,30,Kombi,5,Eşyalı Değil,Boş,Bahçelievler,"7,000"
4 + 1,200,180,4,4,Kombi,5,Eşyalı Değil,Boş,Üsküdar,"35,000"
4 + 1,160,150,5,10,Kombi,5,Eşyalı Değil,Boş,Bahçelievler,"11,000"
3 + 1,130,115,4,22,Kombi,4,Eşyalı Değil,Boş,Üsküdar,"11,500"
2 + 1,88,80,1,4,Kombi,5,Eşyalı Değil,Boş,Bahçelievler,"7,000"
3 + 1,130,120,3,Sıfır Bina,Kombi,4,Eşyalı Değil,Boş,Kadıköy,"30,000"
2 + 1,125,100,5,4,Merkezi (Pay Ölçer),16,Eşyalı,"Güney, Batı",Eyüpsultan,"30,000"
2 + 1,75,70,3,25,Kombi,4,Eşyalı Değil,Boş,Beyoğlu,"6,500"
3 + 1,135,95,4,10,Merkezi (Pay Ölçer),10,Eşyalı Değil,Boş,Kadıköy,"20,500"
3 + 1,190,160,En Üst Kat,30,Kombi,3,Eşyalı,Boş,Büyükçekmece,"30,000"
